"","H_0001","H_0002","H_0003","H_0005","H_0006","H_0007","H_0008","H_0009","H_0010","H_0012","H_0013","H_0539","H_0657","H_0658","H_0681","H_0695","H_0700","H_0726","H_0740","H_0750"
"TAF3",505,513,774,641,503,373,645,541,390,681,484,750,905,791,824,565,679,692,613,1121
"UBXN2A",388,523,537,687,499,529,608,586,410,472,338,599,721,570,574,792,585,647,572,888
"IRF2BP2",2566,2758,4425,3460,2653,1846,3881,3333,1810,4227,1688,2612,4661,2661,4338,3453,3052,3461,4111,6755
"MOB3C",388,527,577,435,560,314,633,400,262,438,153,413,886,310,442,659,425,349,855,1163
"PNPT1",739,1808,2631,1780,888,1231,1879,1756,1062,2011,690,1325,2259,1734,3874,1238,1452,1703,1562,1740
"SIRT1",394,892,634,955,406,527,1005,946,570,861,747,729,1204,812,1264,1122,815,804,760,1349
"CTBP2",1002,1250,1747,1626,1379,1000,1761,1374,1021,1463,976,1464,2715,1235,1262,1823,1508,1443,1880,3364
"RAB29",655,1276,1251,1186,1018,1099,1158,1137,629,584,837,1011,1579,1150,689,1606,1021,757,1167,2184
"FOXN3",1049,1359,1384,2100,1119,1033,1823,1820,952,1247,1313,1816,1958,2039,1375,2323,1585,1540,1553,2501
"STK38",879,1051,1003,1001,948,660,1210,834,573,1109,517,820,1445,881,1189,1470,977,805,1130,2354
"HP1BP3",2922,6231,5746,9299,3485,5780,7641,7951,4826,7346,4463,7141,9891,8113,10300,7455,7857,7506,5704,7827
"FANCE",125,155,143,117,180,94,144,98,63,98,140,118,194,106,142,215,127,125,141,351
"PPM1D",279,421,520,636,248,306,579,484,313,414,292,435,721,458,722,465,405,490,561,704
"CCDC69",684,513,533,570,893,359,580,595,393,490,424,555,664,639,328,701,431,485,555,680
"SYS1",677,714,1208,899,1011,704,838,702,521,810,358,828,1252,840,878,921,846,754,748,1915
"CAPN2",2750,9422,5938,6161,4386,3664,8018,7102,2852,2667,2632,3836,7252,5748,3083,7697,4747,3751,5501,8164
"FCHSD2",1244,2137,1562,2241,1486,1134,2114,1467,1312,1925,1402,2073,2629,1621,2729,2942,1661,1882,2273,3714
"RHOQ",2343,4546,3551,4209,2888,2240,4302,3122,2108,2347,2201,2972,4315,3353,2583,4607,2897,3129,3601,6847
