"","20-1T-AD","21-1A-AD","23-2A-AD","26-3A-AD","27-5A-AD","22-2T-AD","24-3T-AD","25-5T-AD","29-6T-AD","31-7T-AD","28-8T-AD","30-9T-AD","13-11T-Old","15-13T-Old","16-14T-Old","12-6A-Old","14-7A-Old","10-8A-Old","17-9A-Old","18-10A-Old","19-11A-Old","11-10T-Old"
"NUPR1",406,824,256,586,580,462,306,200,162,1087,352,143,261,243,267,222,170,85,387,215,257,335
"FZD7",131,253,134,96,195,120,781,76,105,159,189,133,175,106,117,76,104,74,125,80,105,169
"TLDC2",33,19,18,37,47,43,44,103,66,26,44,45,33,18,29,26,21,10,22,32,34,14
"FKBP5",1603,1767,2041,1539,1459,2343,1362,2406,2102,1136,1935,1560,1577,241,1477,788,1023,663,1537,1403,503,580
"SLC38A2",2778,1833,2589,3138,2517,2473,2361,2038,1715,2641,3105,1898,1386,658,1360,1881,1115,1834,2449,917,978,803
"CLDN7",7,12,10,12,8,7,15,12,13,11,32,8,6,12,5,6,5,1,6,4,11,8
"PRKX",288,426,353,303,543,335,406,655,660,382,501,387,298,220,225,180,209,191,237,225,288,200
"SLC5A3",2600,3243,2404,2742,3768,710,1757,807,940,3634,1729,1953,866,755,840,2195,608,1307,1308,716,775,1895
"CCNA2",47,125,60,76,73,32,93,62,39,118,64,80,29,36,47,59,27,25,37,30,28,51
"C6orf118",32,67,32,31,41,27,25,25,27,43,30,43,20,18,18,24,22,6,14,9,20,24
"SPINT1",24,12,26,18,15,8,79,18,38,25,30,13,17,6,18,16,4,18,25,5,15,13
"SMTN",592,494,575,751,1120,268,1484,506,585,1458,585,478,411,441,266,330,303,168,276,187,458,859
"SAMD11",42,38,74,129,63,45,113,149,51,70,109,57,90,28,23,6,22,17,59,48,26,75
"KLF15",880,964,1032,993,1150,1088,1003,1617,1138,1307,1186,705,599,539,493,550,636,391,564,559,497,430
"HIF3A",1344,1156,1880,1449,2910,711,2535,1759,1906,1363,2007,1412,1247,607,974,700,1289,522,213,775,1259,428
"ALOX15B",51,80,27,36,44,159,27,58,53,55,140,44,32,27,40,11,9,66,31,35,4,47
"LOC101927354",4,39,23,23,8,9,10,19,24,10,22,16,5,7,5,9,6,3,5,7,10,21
"CYP39A1",17,61,28,28,71,14,44,30,20,68,24,17,13,14,6,18,13,10,24,18,20,26
"LINC01108",10,4,7,15,16,7,8,1,6,16,10,7,6,6,5,2,3,4,2,1,7,3
"SCGN",12,6,4,9,5,4,19,6,7,2,20,14,3,1,6,7,5,6,5,3,2,2
"LMNTD2",31,43,40,32,45,15,175,31,44,85,49,19,33,22,20,14,23,7,14,19,31,35
"LBX2",20,11,14,26,27,27,49,25,14,38,23,24,14,13,7,6,7,8,6,11,9,23
"GNRH1",42,41,45,52,47,40,83,80,29,47,103,35,25,18,19,23,29,24,25,24,24,13
"S100A4",95,27,120,63,25,26,37,51,19,52,82,31,41,14,14,17,5,10,30,21,26,38
"ADAMTS2",302,319,229,577,153,222,139,98,382,533,138,468,143,95,131,69,101,103,75,80,82,291
"AKR1C2",95,167,98,119,31,27,98,46,76,57,33,61,27,27,32,42,22,16,61,28,32,24
"LCN6",2,3,20,5,15,8,15,14,7,11,3,8,8,2,5,2,3,1,2,2,9,4
"AZGP1",257,153,134,402,73,194,180,545,338,88,126,154,167,53,108,140,53,62,186,103,31,12
"SLC23A3",14,10,25,7,14,11,69,24,14,33,26,12,6,14,6,8,9,6,4,3,8,21
"OLAH",5,10,31,8,20,5,11,5,17,10,9,7,6,2,1,5,4,3,5,6,9,3
"CXCR2",4,29,119,10,39,14,19,15,19,29,38,4,10,7,6,10,13,6,17,17,13,4
"SH2D3A",14,15,11,9,24,6,14,40,15,23,28,6,5,9,5,6,2,1,4,6,6,15
"CXCR1",7,22,97,15,31,7,14,26,22,24,41,2,11,5,6,10,10,5,15,10,6,8
"SERPINA5",67,52,28,69,57,179,27,22,19,25,46,41,16,2,25,11,19,3,71,13,2,4
"LINC01134",7,12,9,6,11,0,8,4,3,25,19,3,5,4,0,2,0,4,4,0,3,3
"LINC00463",26,14,14,31,8,32,10,71,18,18,69,27,11,6,5,7,11,7,20,3,3,2
"LINC01068",10,10,6,4,6,0,3,5,5,1,2,18,1,1,3,2,0,1,2,0,1,4
"CYP4B1",6,12,31,9,5,4,25,19,13,12,9,10,1,3,4,2,6,6,0,6,2,2
"MIA",0,6,4,2,6,0,6,1,4,9,2,3,0,1,1,2,0,0,0,0,0,3
"NPC1L1",5,170,42,25,60,5,63,17,10,225,4,35,6,3,3,18,2,0,5,1,6,328
