"","20-1T-AD","21-1A-AD","23-2A-AD","26-3A-AD","27-5A-AD","22-2T-AD","24-3T-AD","25-5T-AD","29-6T-AD","31-7T-AD","28-8T-AD","30-9T-AD"
"ITGB5",651,767,1043,954,935,682,792,597,656,1068,944,473
"GMPR",136,246,171,132,156,208,142,106,99,120,175,179
"RNASEH2C",568,496,434,550,426,365,393,508,406,778,563,411
"BCAR3",358,656,669,400,578,281,377,256,346,811,427,355
"CEP152",134,285,210,190,200,122,159,124,149,174,113,141
"ANAPC16",453,431,507,444,531,335,432,434,361,515,492,419
"TP53I3",103,118,121,127,85,113,94,99,127,154,99,74
"SASH1",4506,5282,6734,5422,7470,4081,4505,4622,4245,6835,5054,3553
"ZNF69",49,47,57,66,56,39,51,41,55,80,67,34
"DNAJB6",473,630,532,459,837,313,468,516,411,898,476,495
"KIAA1958",510,568,570,758,547,920,828,842,670,661,846,619
"POGK",1389,1229,1471,1918,1312,1704,1533,2742,1727,1524,1908,1126
"ARL6IP6",245,203,238,249,356,229,226,252,226,265,249,204
"WEE1",40,57,56,33,62,59,45,38,28,32,56,37
"HSPB2",125,74,97,121,120,87,100,39,66,125,75,67
"IL17RB",392,661,566,463,563,195,448,270,300,634,419,364
"CDKN2C",159,140,160,174,147,211,117,187,158,162,145,82
"SLC39A11",468,203,410,544,379,412,256,396,416,494,444,298
"NYNRIN",445,569,470,457,449,226,1086,544,414,772,449,490
"STARD10",633,533,404,687,438,374,539,421,547,792,582,427
"SNRNP48",201,271,202,165,218,141,201,185,127,243,177,198
"MEX3A",28,62,57,59,99,31,94,87,80,98,63,71
"FZD9",177,130,135,143,170,48,102,60,145,142,141,104
"ANO2",89,113,123,149,315,141,158,206,167,111,155,159
"ITGA11",88,121,172,129,92,62,82,57,212,167,123,97
"RND2",656,500,524,747,642,559,876,1233,938,463,999,382
"KANK2",617,603,1114,1072,1317,762,882,916,643,987,994,878
"NFKBIA",1142,826,908,1317,919,1440,1132,920,977,909,1107,946
"RFTN2",595,1125,1349,982,1111,1217,859,1624,985,876,1101,660
"PROC",33,38,26,39,25,35,65,39,36,38,34,37
"TLR5",122,143,108,34,74,132,26,71,43,62,103,84
"TRIP10",300,205,242,304,335,183,261,207,213,280,267,151
"CPQ",232,300,437,415,240,576,273,487,311,229,523,231
"JMJD6",777,1001,697,762,1313,510,962,1048,820,1418,832,836
"SAMHD1",657,905,654,736,669,483,635,1731,1014,711,868,805
"ATOH8",312,446,432,362,445,292,426,714,419,470,390,263
"SPDYA",21,27,23,26,27,12,27,24,9,30,19,23
"RGCC",643,855,1027,750,895,1255,866,897,819,803,999,532
"GYS2",18,32,16,20,33,13,15,22,18,27,12,30
"DNA2",190,240,196,300,156,101,238,193,145,191,217,151
"PRRG4",36,29,30,33,25,13,20,34,19,18,49,9
"RAMP2-AS1",52,92,81,65,71,49,54,95,45,93,50,57
"AJUBA",36,40,60,55,88,26,62,60,66,53,56,37
"CCDC160",15,19,26,17,29,23,21,13,13,12,14,16
"SLC25A48",237,69,104,161,168,185,112,127,241,162,147,143
"SPACA6P-AS",45,37,41,56,75,23,62,46,51,101,60,64
