"","P_0003","P_0006","P_0013","P_0014","P_0015","P_0016","P_0018","P_0019","P_0020","P_0021","P_0022","P_0023","P_0026","P_0027","P_0028","P_0029","P_0030","P_0031","P_0033","P_0012","P_0034","P_0063","P_0126","P_0130","P_0132","P_0133","P_0134","P_0135","P_0136"
"RFTN2",625,2007,985,1983,1912,984,2092,741,1331,3347,1825,855,1421,984,1283,1216,1356,956,980,893,2690,2421,3297,2735,2443,3296,1381,3447,2378
"PROC",28,28,39,30,30,44,51,35,35,24,14,19,29,36,15,17,39,25,13,38,29,14,41,51,36,39,46,37,18
"TLR5",16,61,54,94,74,74,170,54,98,164,197,189,172,88,99,96,167,169,30,53,57,46,72,153,106,180,92,258,233
"TRIP10",346,787,328,517,537,350,872,521,273,1228,847,1428,845,320,576,438,440,736,192,221,759,517,1446,749,1033,975,347,860,638
"CPQ",217,568,390,772,661,485,650,476,482,1691,821,1557,590,491,487,452,462,707,301,438,833,859,1289,1168,1325,1056,714,1251,1045
"JMJD6",957,2767,782,1273,1169,1159,2058,1290,1086,1542,938,1308,1418,1359,1170,947,1229,959,1179,862,1617,1515,3805,939,987,3396,1230,1763,926
"SAMHD1",754,1209,1066,1486,654,1468,1821,736,1351,1825,1747,1550,1674,1673,1759,1506,1683,1195,392,1361,1459,981,2580,2118,1543,2072,1613,1863,1892
"ATOH8",231,560,286,500,499,322,749,799,444,546,749,965,682,389,581,441,551,502,332,201,747,369,1224,1036,693,985,209,1348,1846
"SPDYA",33,63,47,53,64,57,102,55,62,26,52,54,39,64,42,38,43,57,3,62,145,127,83,112,57,180,100,88,81
"RGCC",1542,2500,1783,3592,3069,1803,2998,1629,2733,5585,2668,3447,2569,2076,2348,1882,3051,825,980,2117,4460,3951,6996,6773,6287,4903,1714,5214,2566
"GYS2",9,40,7,21,12,17,31,15,14,24,11,13,16,14,17,8,11,19,1,21,52,22,35,21,12,54,22,25,36
"DNA2",141,284,140,245,255,211,327,118,223,380,235,127,169,193,177,161,133,136,56,174,474,316,436,302,373,588,214,540,276
"PRRG4",10,54,19,42,29,13,52,49,12,85,56,53,48,26,39,29,22,52,12,21,59,30,43,23,40,50,11,55,96
"RAMP2-AS1",12,111,54,93,58,61,70,30,89,52,90,285,144,63,70,62,100,104,44,48,97,29,83,82,56,73,81,86,157
"AJUBA",26,90,32,62,39,78,70,42,35,77,90,334,127,47,52,41,42,78,10,32,96,64,113,49,118,151,75,95,190
"CCDC160",39,91,36,53,53,48,73,29,48,87,72,39,58,50,33,59,64,32,19,60,167,144,212,106,113,111,76,99,119
"SLC25A48",466,1039,475,715,589,435,550,499,857,715,552,339,672,447,368,343,885,210,58,337,939,643,2249,814,1396,584,478,478,218
"SPACA6P-AS",55,192,39,49,62,42,156,50,68,53,74,71,76,50,38,47,75,15,22,37,38,137,100,39,50,123,38,70,32
"RCC1",157,533,162,280,196,221,360,87,191,332,253,307,349,272,276,206,265,174,91,158,271,221,679,172,194,647,296,415,182
