"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"13758","ATP1B4",2.18352162387662,0.0586604286402821,0.231169533517942,0.488444401295349,0.696989941088916
"13759","LAMP2",2762.40475902861,0.204745702193209,0.20541768657385,0.0769921303047368,0.252562929044871
"13760","C1GALT1C1",72.9976357586618,0.0734688843181204,0.142039053133649,0.493123808096907,0.700853922379466
"13761","MCTS1",315.54745283893,-0.118115581843949,0.118941743672588,0.230733693090367,0.468407589740057
"13762","CT47B1",0.262260845064678,-0.000592774828066032,0.259681822217427,0.989639146307734,NA
"13763","GLUD2",706.087670150705,-0.408664479294574,0.129890715368232,9.68618634912456e-05,0.00486387100206056
"13764","CT47A6",0,0,0.274009855282615,NA,NA
"13765","CT47A7",0,0,0.274009855282615,NA,NA
"13766","MIR3672",0.197804951766492,-0.00979233431833095,0.268336226567927,0.743247543522065,NA
"13767","XIAP",899.322923247956,0.063183295745201,0.0862672451384737,0.420750090528352,0.64591410658585
"13768","LOC101928402",5.6061474080829,0.0596279407617567,0.19176836604526,0.572444504856212,0.755958298120319
"13769","SH2D1A",2.46560138338643,0.104634298898662,0.250039547596206,0.216072292283922,0.45165757798749
"13770","TEX13C",0.728569703587381,-0.0631009023309236,0.256093565086756,0.341949637536004,NA
"13771","LOC101928495",0.0909387362516576,0.00482680490409295,0.270153273972898,0.841287450823019,NA
"13772","DCAF12L2",46.9739365481657,-0.150989541431435,0.182211478033988,0.181124878574443,0.40818665903069
"13773","DCAF12L1",0.415097624317675,0.0483689476243435,0.264627925123605,0.34857813945594,NA
"13774","PRR32",0.351493314801345,-0.0322611559798516,0.268644876609269,0.395217629219897,NA
"13775","ACTRT1",1.73056854818021,0.00322335475366963,0.235156295181083,0.965615489794435,NA
"13776","APLN",401.848904326026,0.257629628213801,0.216332094629959,0.033104086403342,0.15659286441934
"13777","SASH3",124.112251055229,0.0375195613586366,0.174770257245932,0.730686736684409,0.857201546580039
"13778","XPNPEP2",0.654809828400551,-0.0500722156394075,0.252754199212746,0.441184168360507,NA
"13779","UTP14A",175.464901719396,0.0216298153158318,0.111809184237763,0.819553882222851,0.910639683188105
"13780","BCORL1",527.319400776015,0.0183098235632366,0.112742287729251,0.847671587819669,0.925091875930339
"13781","AIFM1",212.462143133612,-0.115652687010041,0.109556870611498,0.216529264069262,0.45225015544962
"13782","RAB33A",161.162055746697,0.0915248369594927,0.174748491220462,0.407589921615188,0.634491887384096
"13783","GPR119",0.0927903707362514,0.00482680490409295,0.270153273972898,0.841287450823019,NA
"13784","RBMX2",137.510851559695,-0.134191407237543,0.100617169887449,0.128162019717594,0.336372882105514
"13785","LOC105373338",4.03888103975978,0.149664169899039,0.231422151429677,0.146947046410346,0.363225791053452
"13786","ARHGAP36",19.4423614953829,-0.238857652916887,0.19845167096199,0.0446766076350127,0.184066548985745
"13787","FRMD7",0.296056344999357,-0.0206679650187731,0.263954405497202,0.618798730843389,NA
"13788","RAP2C",278.567632988897,-0.024108014562933,0.0993759054603853,0.782847426144436,0.889279539857411
"13789","HS6ST2-AS1",0.91198526861325,0.0145691254885567,0.240795681889148,0.834697238164759,NA
"13790","USP26",0.267458798001703,-0.0154078424212094,0.26852710722336,0.618793671554744,NA
"13791","TFDP3",0.229452445441474,-0.00475180137674154,0.265287579892078,0.894642581981294,NA
"13792","MIR363",0.0453501865327882,-0.0013015402349553,0.270053553816106,0.956927546604096,NA
"13793","MIR92A2",0.0907003730655765,-0.00359969213488097,0.270105545118421,0.881272728701382,NA
"13794","MIR19B2",0,0,0.274009855282615,NA,NA
"13795","MIR20B",0,0,0.274009855282615,NA,NA
"13796","MIR18B",0,0,0.274009855282615,NA,NA
"13797","MIR106A",0,0,0.274009855282615,NA,NA
"13798","CCDC160",15.0510875888625,0.505188921326491,0.264633937076978,0.000676360846416312,0.0167473444477641
"13799","HPRT1",312.367750117884,-0.347730960674981,0.220043363133927,0.00714317340176849,0.0653381058306499
"13800","MIR450B",0.163921716627819,0.000230232831367563,0.270045979324311,0.992377070896555,NA
"13801","MIR450A1",0,0,0.274009855282615,NA,NA
"13802","MIR450A2",0.135569535154871,0.0067437129500822,0.270255652186664,0.779706155905131,NA
"13803","MIR542",0.321576371696987,0.00841971169762599,0.256992284374731,0.866535527724365,NA
"13804","MIR503HG",4.54518561904145,0.0185235144388604,0.199951031069092,0.853852263704061,0.928468061919193
"13805","MIR503",0.443093269291306,-0.049427892398773,0.261953976084197,0.370658932317597,NA
"13806","MIR424",0.0914364312587294,0.00482680490409295,0.270153273972898,0.841287450823019,NA
"13807","FAM122B",383.08084328711,-0.0275798318331322,0.104703356203829,0.76124135953773,0.877091397681418
"13808","MOSPD1",43.1602417808737,-0.0728714617330527,0.1442066352801,0.498811552481475,0.704704085528763
"13809","FAM127B",319.960052476743,-0.130407110432829,0.0911760149789775,0.111383755275816,0.309473516690267
"13810","SMIM10",37.7055033828904,-0.0501300232614399,0.144528854528044,0.641494278333122,0.801780664415702
"13811","FAM127C",126.743107412843,-0.0195348061035013,0.117165134351965,0.841350213307471,0.921504054331564
"13812","FAM127A",1798.39585218089,-0.441234801041322,0.154346436694691,0.000145923921810118,0.00631756397165119
"13813","SMIM10L2B",595.033560317858,-0.648178971050246,0.225480362754789,1.33814468565239e-05,0.00138055128890775
"13814","LINC00633",0.0411298549701211,-0.00130154023495529,0.270053553816106,0.956927546604096,NA
"13815","LOC100287728",0.0959870173920487,0.000613184226007968,0.270047470163578,0.979699639723166,NA
"13816","CT55",5.8993245842224,-0.455577757222587,0.369952962622814,0.002596543026252,0.0380609552175144
"13817","ZNF75D",203.01046266333,-0.157896172997437,0.0812585587539434,0.0344018599596068,0.159504399612628
"13818","LOC100506790",0.0776412095344003,-0.00359969213488096,0.270105545118421,0.881272728701382,NA
"13819","SMIM10L2A",909.97083406875,-0.605254933004961,0.18988002558798,6.51014822744683e-06,0.000866197258335246
"13820","INTS6L",246.743428609028,-0.00454698064367776,0.120200819428487,0.963385423067214,0.983570910954459
"13821","DDX26B-AS1",0.66417112007612,-0.114963082495702,0.2901705322447,0.0777454417081865,NA
"13822","CT45A10",0.971626398095182,0.089772513078753,0.274779681015615,0.151951941833342,NA
"13823","SAGE1",1.2882999604423,0.0413981455488277,0.251315234071235,0.516805143600142,NA
"13824","CT45A3",0,0,0.274009855282615,NA,NA
"13825","SLC9A6",1111.23907543992,-0.235797696659613,0.178414268572904,0.0445197426672473,0.183780529161806
"13826","MMGT1",305.141649587705,-0.124478358453403,0.129334387443783,0.22788496243105,0.464777844518186
"13827","MAP7D3",67.6700003141708,0.122911133644952,0.128736180926114,0.232661555519568,0.470946009935029
"13828","BRS3",0.495289279285597,0.0266984671379513,0.256652596033561,0.619909529175436,NA
"13829","VGLL1",0.29103892336928,-0.00947702350067029,0.260055309549455,0.83546004377788,NA
"13830","HTATSF1",1140.25673493856,-0.0215153386850555,0.114179319562259,0.822804371470059,0.912543332457534
"13831","MIR934",0,0,0.274009855282615,NA,NA
"13832","CD40LG",2.61040728866897,-0.112264954763436,0.22861530037297,0.24603295459447,0.485386176148678
"13833","LINC00892",0.70605997405643,-0.0188825024596331,0.254879631384576,0.728601091928226,NA
"13834","RBMX",644.793062221198,-0.118311992886656,0.130188493655121,0.253197071361893,0.492301409961988
"13835","SNORD61",0.672430953769479,0.108282016944214,0.295909818117646,0.05679319211116,NA
"13836","GPR101",3.99446084826249,-0.0126295229158941,0.23413151266317,0.868156531831523,0.936551027899152
"13837","ZIC3",28.3169844202099,0.106983915303088,0.188237198421746,0.328218409821236,0.56395418549581
"13838","LINC00889",94.3598311545352,-0.14547834645786,0.192545731923635,0.192265917018596,0.422875521980892
"13839","MIR504",0.300858890081864,0.00689090380770197,0.259761935997764,0.880457460970955,NA
"13840","FGF13-AS1",4.12859365708433,-0.204393736483431,0.261675976247364,0.0577577112998227,0.21382589323738
"13841","SRD5A1P1",1.963163228672,0.00227951204101357,0.222850422567852,0.978709522793115,NA
"13842","F9",0.137414139329526,0.00928017796972254,0.26899544979288,0.741554032381958,NA
"13843","ATP11C",161.270806502814,0.205832811587127,0.161692275794391,0.0702490920542411,0.239425529464161
"13844","MIR505",0.807623336185847,0.0154095985874099,0.245615329606056,0.812206171939342,NA
"13845","CXorf66",0,0,0.274009855282615,NA,NA
"13846","LOC389895",37.0529466264493,-0.139741667760067,0.154177769309177,0.20686999853479,0.440591689077108
"13847","SOX3",10.1068647081706,0.0620941223577531,0.198840114139016,0.5473443837359,0.740023800506463
"13848","CDR1",119533.947110313,0.344323843031922,0.275940175995788,0.00920879128585459,0.0755802212776456
"13849","MIR320D2",0,0,0.274009855282615,NA,NA
"13850","SPANXB1",0,0,0.274009855282615,NA,NA
"13851","LDOC1",778.178052623872,-0.304567197618356,0.149809153115515,0.00679109375629032,0.0638540398049751
"13852","SPANXA1",0,0,0.274009855282615,NA,NA
"13853","SPANXA2",0,0,0.274009855282615,NA,NA
"13854","LOC645188",1.00799003702464,0.0334972337898821,0.241662713371226,0.639399405547291,NA
"13855","SPANXC",0,0,0.274009855282615,NA,NA
"13856","SPANXD",0.422185734519238,-0.0514823340040094,0.271559785836963,0.243912287420279,NA
"13857","MAGEC1",1.45115995209657,0.207751423982352,0.325805120366108,0.0256693150969271,NA
"13858","MAGEC3",37.512566414714,0.241350460901482,0.292496020910307,0.0300664634928591,0.147811962563143
"13859","MAGEC2",0,0,0.274009855282615,NA,NA
"13860","SPANXN4",0.0416647130181776,-0.0013015402349553,0.270053553816106,0.956927546604096,NA
"13861","SPANXN3",0.0974833690900816,-0.00359969213488097,0.270105545118421,0.881272728701382,NA
"13862","SLITRK4",655.701924079471,-0.257629839243102,0.197467663864545,0.0322988098813033,0.154200904018675
"13863","SPANXN2",0,0,0.274009855282615,NA,NA
"13864","UBE2NL",6.2221404081846,-0.295176269699882,0.247855449849468,0.0184344508777555,0.111467229068017
"13865","SPANXN1",0,0,0.274009855282615,NA,NA
"13866","SLITRK2",1030.16737253805,-0.0922225778203903,0.107091508372674,0.317030181983355,0.554856029310412
"13867","TMEM257",51.3877690673887,-0.0648267824226228,0.15608606600208,0.554644136691497,0.745447152845342
"13868","MIR892C",0.146356865242216,0.00358515981158875,0.268505322526892,0.900000580440197,NA
"13869","MIR890",0.0798207049637873,0.000613184226007971,0.270047470163578,0.979699639723166,NA
"13870","MIR888",0.0798207049637873,0.000613184226007971,0.270047470163578,0.979699639723166,NA
"13871","MIR892A",0.162104053714471,-0.00580420472133093,0.268450920945731,0.840883095125379,NA
"13872","MIR892B",0.217081280455502,-0.0240235164484036,0.267817822180738,0.500950152597337,NA
"13873","MIR891B",0,0,0.274009855282615,NA,NA
"13874","MIR891A",0,0,0.274009855282615,NA,NA
"13875","CXorf51A",0,0,0.274009855282615,NA,NA
"13876","CXorf51B",0,0,0.274009855282615,NA,NA
"13877","MIR513C",0,0,0.274009855282615,NA,NA
"13878","MIR509-3",0.131615529726501,0.00340556931688918,0.268769044514242,0.902620994266808,NA
"13879","MIR513B",0.0425348457140741,0.00291110829929991,0.270084851388858,0.903855855322887,NA
"13880","MIR513A1",0,0,0.274009855282615,NA,NA
"13881","MIR513A2",0.0455697908723349,0.00291110829929991,0.270084851388858,0.903855855322887,NA
"13882","MIR506",0.133155544288459,0.00342488052163556,0.268740628693396,0.902336262901012,NA
"13883","MIR507",0.179812148683071,-0.00852262386592477,0.26607995463007,0.806035473013919,NA
"13884","MIR508",0.042522532697691,0.0029111082992999,0.270084851388858,0.903855855322888,NA
"13885","MIR514B",0.0489128889438707,0.0029111082992999,0.270084851388858,0.903855855322888,NA
"13886","MIR509-1",0,0,0.274009855282615,NA,NA
"13887","MIR509-2",0,0,0.274009855282615,NA,NA
"13888","MIR510",0.18479645504815,0.000356395283395181,0.267958044848686,0.990442360201458,NA
"13889","MIR514A1",0.0435232061564754,-0.0013015402349553,0.270053553816106,0.956927546604096,NA
"13890","MIR514A2",0,0,0.274009855282615,NA,NA
"13891","MIR514A3",0,0,0.274009855282615,NA,NA
"13892","FMR1-AS1",6.922985164445,-0.137215987622181,0.190412679211147,0.217285474293636,0.453103546284749
"13893","FMR1",888.639007299321,-0.0513710338158788,0.106497723879304,0.575867765656456,0.75852474280082
"13894","FMR1NB",0.418366935008326,-0.0149467728881029,0.258067847604731,0.762232280189268,NA
"13895","LOC101928917",0.278851584259713,0.0200461141323433,0.266449051498273,0.586536632475489,NA
"13896","IDS",17813.9455033078,-0.15938822002349,0.144496532698176,0.142695406808541,0.356976492407221
"13897","LINC00893",63.4485290561509,-0.0560287972303988,0.150568544903849,0.606873407654714,0.778680037493859
"13898","HSFX2",0,0,0.274009855282615,NA,NA
"13899","HSFX1",0,0,0.274009855282615,NA,NA
"13900","MAGEA9",0,0,0.274009855282615,NA,NA
"13901","MAGEA9B",0,0,0.274009855282615,NA,NA
"13902","TMEM185A",75.8118042551903,0.0536486653689474,0.123834633013064,0.594298053463423,0.770058148802714
"13903","MAGEA11",0.0470731188310103,-0.0013015402349553,0.270053553816106,0.956927546604096,NA
"13904","LINC00850",0.2278190489783,-0.00627057494681686,0.26274032225078,0.877900984852794,NA
"13905","MAGEA8-AS1",2.02911183712147,0.100651113265626,0.25238421518214,0.219913135866417,NA
"13906","MAGEA8",7.95489377618183,-0.00431720148367052,0.206749273210417,0.964356186498158,0.983983965429771
"13907","CXorf40B",67.8156513042738,-0.111330400389965,0.114937726835332,0.248708164143268,0.487983449325615
"13908","MIR2114",0.0490987932925498,-0.00130154023495529,0.270053553816106,0.956927546604096,NA
"13909","MTMR1",563.030663885341,-0.120082131745134,0.0772505833484349,0.0935531716527946,0.281293453693632
"13910","HMGB3",120.177883817287,-0.641083117970582,0.183709251502307,1.49685188102398e-06,0.000356384273793476
"13911","MIR4330",0,0,0.274009855282615,NA,NA
"13912","GPR50-AS1",0.138849432139519,0.00349513344101362,0.268637371881826,0.901306526910619,NA
"13913","GPR50",0.2349072814323,-0.019334931659478,0.263951783455177,0.638543033866768,NA
"13914","VMA21",468.992476756285,-0.225343053292573,0.129383305635971,0.0298437449347226,0.147317354563199
"13915","LOC105377213",0.147107803968955,0.0067437129500822,0.270255652186664,0.779706155905132,NA
"13916","FATE1",2.16752748154766,-0.633337651439922,0.612660629958634,0.000274862682750468,0.0094125800472266
"13917","CNGA2",0.272101119196729,-0.013276899252883,0.270824077235221,0.584059702284172,NA
"13918","MAGEA4",0,0,0.274009855282615,NA,NA
"13919","LOC105373368",0,0,0.274009855282615,NA,NA
"13920","MIR224",0.188266190140861,-0.0062209735388742,0.268078420803058,0.835114253044795,NA
"13921","MIR452",0.0446848223317163,0.0029111082992999,0.270084851388858,0.903855855322888,NA
"13922","MAGEA5",0,0,0.274009855282615,NA,NA
"13923","MAGEA10-MAGEA5",0,0,0.274009855282615,NA,NA
"13924","MAGEA10",0.314034267168999,0.0237962893634148,0.261521244806482,0.607469407807369,NA
"13925","MIR105-1",0.0455697908723349,0.00291110829929991,0.270084851388858,0.903855855322887,NA
"13926","MIR767",0.0435232061564754,-0.0013015402349553,0.270053553816106,0.956927546604096,NA
"13927","MIR105-2",0.176372720211045,-0.00845281005206026,0.266139150503984,0.806860139219728,NA
"13928","MAGEA2B",0,0,0.274009855282615,NA,NA
"13929","CSAG4",0.0920233208435765,0.000613184226007976,0.270047470163578,0.979699639723165,NA
"13930","GABRQ",58.465670949808,-0.200024846199842,0.242567738341524,0.0699214320145621,0.238620760049696
"13931","MAGEA6",0,0,0.274009855282615,NA,NA
"13932","CSAG3",0,0,0.274009855282615,NA,NA
"13933","MAGEA2",0.045965395054413,0.0029111082992999,0.270084851388858,0.903855855322888,NA
"13934","MAGEA12",2.93204621348368,-0.0419891771244261,0.229353974169896,0.614001919698352,0.783147146541428
"13935","CSAG1",4.47838907587711,-0.038695699912289,0.209553122720577,0.687739895449715,0.830070041582398
"13936","CETN2",245.123948721108,-0.177657276858299,0.151421918527863,0.108994096644222,0.305890443482068
"13937","MAGEA3",0,0,0.274009855282615,NA,NA
"13938","NSDHL",146.684449374779,-0.0858382152614877,0.145763724781382,0.427659101862271,0.651380737238758
"13939","ZNF185",105.990252185135,0.0581777106065425,0.155864011808075,0.595615748667368,0.770759893178082
"13940","PNMA5",251.814401025836,-0.319718864489882,0.244774587481594,0.012719616758275,0.0899212228792629
"13941","PNMA3",842.024144098075,-0.925304879174778,0.295322879633308,2.18086179466245e-06,0.000433160692644622
"13942","PNMA6A",16.128013508443,-0.301965697948949,0.236706411762714,0.0165731578000745,0.104547249219768
"13943","MAGEA1",0,0,0.274009855282615,NA,NA
"13944","LOC105373378",0.253932802446599,-0.0133221363963056,0.263229590446013,0.745108127624036,NA
"13945","ZFP92",74.5183675733913,-0.0614583673957865,0.150200093530152,0.572430117877508,0.755958298120319
"13946","ZNF275",659.718497354011,0.108848694891885,0.0795175252712381,0.137973002081881,0.350872790225683
