,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
422,LOC100507487,31.66853553,0.66326382,0.229390266,2.891420946,0.003835041,0.046853997
818,LOC389765,222.3713401,0.663334706,0.179668499,3.69199225,0.000222504,0.008271526
1244,SAMD4A,2062.907182,0.664993788,0.181394907,3.666000329,0.000246374,0.008921779
1487,JUP,496.2323051,0.666594498,0.176549998,3.775669812,0.000159578,0.006577084
373,IL17RB,380.4307503,0.666996294,0.193622366,3.444830825,0.000571417,0.015192028
154,TMEM79,81.10071879,0.668464379,0.177824727,3.759119382,0.000170512,0.006864937
197,ZNF692,519.6376099,0.669841561,0.170932236,3.918755026,8.90E-05,0.004624905
285,LYG1,37.46700693,0.671595654,0.204987392,3.276277858,0.00105185,0.021633468
452,FAM13A-AS1,83.52720648,0.672540734,0.156212714,4.30528807,1.67E-05,0.001588109
63,ARHGEF16,36.24379138,0.672783814,0.218223216,3.08300751,0.0020492,0.032722866
1791,SERHL2,99.92163717,0.67406323,0.205056103,3.287213698,0.00101184,0.021101927
540,GRM6,78.34483376,0.674896393,0.224210641,3.010099747,0.002611619,0.038205705
364,PLXNB1,5684.679264,0.675734352,0.17911897,3.772544879,0.000161591,0.006632448
113,CDKN2C,132.0553531,0.67587655,0.158128083,4.274234757,1.92E-05,0.001754334
1228,INTS6-AS1,36.51484,0.679304281,0.177216881,3.833180431,0.000126497,0.005798015
1189,TCP11L2,310.5668347,0.679783649,0.21877872,3.107174448,0.001888849,0.031254023
140,FAM63A,606.5242539,0.679818387,0.233084739,2.916614744,0.003538525,0.04488915
1433,SLC39A11,337.0287068,0.680538634,0.164461516,4.137981026,3.50E-05,0.002619024
1266,NYNRIN,466.007761,0.681251993,0.226412097,3.0089028,0.00262193,0.038264763
739,CA2,689.1923905,0.681427256,0.199284556,3.419368108,0.000627668,0.016120697
1035,PIDD1,441.7318835,0.683845013,0.223504822,3.059643214,0.002216008,0.034277818
45,LHX4,35.79475379,0.685287839,0.193380992,3.543718711,0.000394526,0.012117582
1232,KDELC1,59.41452818,0.68728033,0.157799455,4.355403701,1.33E-05,0.001380551
1190,ACACB,1670.407066,0.69222676,0.181108295,3.822170377,0.000132282,0.005920704
1017,STARD10,454.694129,0.693833852,0.133162717,5.210421273,1.88E-07,8.54E-05
174,ZBED6,834.3552464,0.696604554,0.158211833,4.402986439,1.07E-05,0.001210306
899,MORF4L2-AS1,23.67950811,0.698459827,0.203358116,3.434629703,0.000593364,0.015546849
115,SSBP3-AS1,107.3358151,0.698823166,0.18826284,3.711954873,0.000205665,0.00779843
1493,CNTD1,30.59781006,0.700194581,0.241475985,2.899644781,0.003735858,0.046293115
552,SNRNP48,165.9835176,0.70207326,0.147034245,4.774896199,1.80E-06,0.000382625
152,MEX3A,60.15876873,0.702164218,0.241808921,2.903797822,0.003686661,0.046078916
1724,LOC100506384,110.0917775,0.702780936,0.226831226,3.098254807,0.00194664,0.031815966
559,TFEB,436.5475291,0.704543029,0.231632805,3.041637508,0.002352951,0.035682223
685,FZD9,106.5109567,0.705844201,0.196161922,3.59827328,0.000320337,0.010454815
1522,QRICH2,470.8495491,0.707656561,0.235814318,3.000905833,0.002691778,0.038759865
1804,CPT1B,19.09045639,0.707842791,0.247298426,2.86230205,0.004205759,0.049386881
1116,ANO2,136.1568081,0.709771674,0.234753679,3.023474124,0.002498904,0.037039547
342,COL6A6,63.16184522,0.710983641,0.199972703,3.555403465,0.000377399,0.0118001
1461,FLCN,1752.332164,0.711780147,0.167858263,4.240364076,2.23E-05,0.001955441
1045,OLFML1,27.14754108,0.713091739,0.249773651,2.85495182,0.004304336,0.04988609
1683,NINL,501.6165158,0.714847857,0.217158915,3.291819065,0.000995416,0.020863726
1525,CEP295NL,119.9937028,0.716259655,0.238656866,3.00121118,0.00268908,0.038759865
1304,ITGA11,99.66963925,0.716717195,0.227569541,3.149442545,0.001635823,0.028405564
1108,RASSF3,223.9148385,0.717131265,0.178852414,4.009625868,6.08E-05,0.00363409
705,PLOD3,609.1033304,0.718284403,0.218604071,3.285777794,0.001017012,0.021146347
1730,RTEL1,35.42545882,0.718550538,0.224854812,3.195620021,0.001395307,0.025532042
415,LOC101930370,78.52486575,0.718677679,0.181926935,3.950364363,7.80E-05,0.004263378
778,CTHRC1,42.51104363,0.718706146,0.246757729,2.912598319,0.003584353,0.045124398
508,DHFR,67.23028422,0.718819114,0.215235435,3.339687607,0.000838727,0.018788021
1495,RND2,611.9107347,0.721008428,0.195832407,3.681762579,0.000231627,0.008564862
173,LINC00260,76.27024381,0.721663567,0.215622669,3.346881707,0.000817261,0.018546217
834,LOC102723566,100.7281386,0.721864865,0.222001741,3.25161803,0.001147501,0.022691153
1614,RGS9BP,46.36128083,0.722127277,0.226273226,3.191395153,0.001415875,0.025833833
1599,ZNF788,69.2902718,0.722215449,0.221641226,3.258488789,0.001120073,0.022289239
1411,LOC100506083,24.21488418,0.723164391,0.223058381,3.24204088,0.00118677,0.023129199
266,AHSA2,1044.725557,0.725761199,0.181776742,3.992596591,6.54E-05,0.003807127
1369,PRR25,16.41060192,0.725871547,0.22716896,3.195293699,0.001396886,0.025532042
