,AD,,PD,,HD,
,lfc,p-adjusted,lfc,q,lfc,q
MRPS25,-0.319782117,0.040171463,-0.207475744,0.000272177,-0.206278383,0.00586285
BBS5,-0.31259886,0.019393075,-0.170968261,0.031501399,-0.494175615,4.63E-11
TRIM9,-0.297291675,0.007041647,-0.4919931,3.85E-05,-0.341665072,0.005900902
NICN1,-0.293894203,0.049874374,-0.342537781,0.003251345,-0.437131743,0.000850856
MRPS5,0.282202381,0.011749177,0.258950305,0.001884687,0.217349837,0.041211518
PPP4R3A,0.28481793,0.011994609,0.211675303,0.01515433,0.414500597,1.18E-05
HDGF,0.302791207,0.049702957,0.366193759,3.00E-06,0.245162357,0.002276857
PTPN21,0.307274222,0.038385738,0.254171989,0.012535093,0.259503067,0.037340749
EXOG,0.316893158,0.029065548,-0.28231759,0.002568442,-0.299523105,0.005603259
TRIM4,0.321092815,0.019750382,0.331403105,0.00019815,0.3506691,0.00091211
ZMYND8,0.334625148,0.039671904,0.331661791,0.000177569,0.339855209,0.000932773
UNC119B,0.339620459,0.046299649,0.178287044,0.021421277,0.227716208,0.011140477
RBM17,0.346247949,0.010437194,0.31813356,0.000314029,0.38429785,8.98E-08
RELA,0.346917905,0.047159721,0.96344626,2.42E-08,0.495670112,0.010636137
HNRNPH3,0.359185667,0.043116031,0.271872312,0.003799272,0.310457477,0.001705638
ZNF32,0.363931634,0.044854772,0.223306096,0.038973245,0.438328548,0.002329088
ZBTB34,0.368502042,0.00395281,0.236461397,0.015153655,0.283238043,0.037295916
PSPH,0.383738936,0.017217063,0.332189017,0.000246675,0.333221979,0.00188227
NFKB1,0.386285693,0.005782152,0.341884595,0.001055887,0.255174192,0.022349586
COLGALT1,0.397490365,0.014667896,0.705955626,1.15E-06,0.354317436,0.021767047
PPP1CC,0.420891095,0.024965871,0.231709253,0.004028854,0.549610726,1.33E-11
SNHG3,0.428340445,0.014666999,0.417325287,0.000149186,0.504656291,0.000141971
ZHX3,0.430421272,0.026453336,0.263067071,0.002904321,0.232550717,0.032993787
ZNF143,0.434858289,0.039581153,0.178177636,0.022653109,0.371527443,3.98E-06
AUP1,0.435388565,0.002930971,0.628450171,3.16E-06,0.314072048,0.043947235
ITPRIP,0.43555492,0.04988609,0.89946665,0.000130399,0.692319076,0.008020677
HBP1,0.445616294,0.013135485,0.222698785,0.044429286,0.402501882,0.00566084
TRIM8,0.446638039,0.011766387,0.565283158,1.71E-08,0.361460554,0.001763358
TAF3,0.451972596,0.002967141,0.322392803,0.000597201,0.344360176,0.000193944
UBXN2A,0.454944426,0.011228139,0.23874025,0.006506545,0.303353338,0.001578814
IRF2BP2,0.456695857,0.01001498,0.464019418,0.000597069,0.387334615,0.006591055
MOB3C,0.459506039,0.021967997,0.635346452,7.57E-05,0.438091658,0.037081544
PNPT1,0.460142054,0.018683558,0.342792127,0.009472536,0.366155437,0.037404966
SIRT1,0.461626373,0.001413129,0.28591585,0.018749983,0.449327851,0.000923919
CTBP2,0.464019346,0.006869004,0.25764798,0.004231446,0.302155563,0.003762445
RAB29,0.464304879,0.017738142,0.395695878,0.000639032,0.523230576,7.70E-05
FOXN3,0.474330624,0.00967134,0.232289888,0.009403862,0.414437181,2.24E-06
STK38,0.475192034,0.008921779,0.567752009,1.28E-06,0.388085731,0.007088941
HP1BP3,0.477072714,2.46E-05,0.217623858,0.013430867,0.332837738,0.003882467
FANCE,0.478037194,0.025924587,0.535604794,0.000174157,0.313041323,0.047661948
PPM1D,0.481469552,0.01165261,0.371535948,0.007715761,0.323193164,0.030498832
CCDC69,0.48179774,0.049601192,0.438295703,0.004854264,0.537799392,0.001731363
SYS1,0.483807303,6.95E-05,0.27431692,0.002385242,0.279108664,0.010682839
CAPN2,0.490415567,0.007646574,0.51133063,8.85E-06,0.624120403,5.30E-05
FCHSD2,0.497100851,0.044477985,0.331483703,0.001547213,0.385129596,0.000406971
RHOQ,0.498032647,0.040768938,0.420230792,0.000468323,0.544891496,1.34E-05
ATF4,0.522134387,0.019275443,0.466672192,8.76E-05,0.316847612,0.013622089
LRP4,0.522661277,0.033263377,0.773098202,0.000127529,0.537122447,0.043185597
