"","lfc","p-adjusted"
"LINC01108","1.312624066",0.019876613
"SCGN","1.320278718",0.025948828
"LMNTD2","1.388527476",0.009830561
"LBX2","1.390589173",0.000802497
"GNRH1","1.402792904",4.32e-06
"S100A4","1.40705198",0.002732606
"ADAMTS2","1.428749859",0.00038393
"AKR1C2","1.42920514",0.000167359
"LCN6","1.434843771",0.029232482
"AZGP1","1.455109817",0.003734421
"SLC23A3","1.498065555",0.010413709
"OLAH","1.529088576",0.006825135
"CXCR2","1.615238781",0.012624346
"SH2D3A","1.660029348",0.001973671
"CXCR1","1.745966531",0.003752232
"SERPINA5","1.867408339",0.003576179
"LINC01134","1.976602118",0.011341698
"LINC00463","2.055362384",9.91e-05
"LINC01068","2.072624612",0.012526081
"CYP4B1","2.157137251",0.000378076
"MIA","2.502812601",0.027041133
"NPC1L1","3.296196643",0.000547293
